title,director,plot,box_office,imdbrating,released
Toy Story (1995),John Lasseter,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.","$229,693,424",8.3,22 Nov 1995
Jumanji (1995),Joe Johnston,A magic board game summons jungle perils and a missing boy.,"$100,499,940",7.1,15 Dec 1995
Grumpier Old Men (1995),Howard Deutch,"Just as John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, its new female owner catches Max's attention.","$71,518,503",6.7,22 Dec 1995
Waiting to Exhale (1995),Forest Whitaker,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.","$67,052,156",6.0,22 Dec 1995
Father of the Bride Part II (1995),Charles Shyer,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.","$76,594,107",6.1,08 Dec 1995
Heat (1995),Michael Mann,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"$67,436,818",8.3,15 Dec 1995
Sabrina (1995),Sydney Pollack,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","$53,672,080",6.3,15 Dec 1995
Tom and Huck (1995),Peter Hewitt,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,"$23,920,048",5.5,22 Dec 1995
Sudden Death (1995),Peter Hyams,"Darren McCord, a fire marshal for the Pittsburgh Civic Arena, finds himself in a race against time to save his daughter, the Vice President and a crowded stadium, when terrorists take over an NHL Stanley Cup game.","$20,350,171",5.9,22 Dec 1995
GoldenEye (1995),Martin Campbell,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.","$106,429,941",7.2,17 Nov 1995
"American President, The (1995)",,,,,
Dracula: Dead and Loving It (1995),Mel Brooks,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"$10,772,144",5.9,22 Dec 1995
Balto (1995),Simon Wells,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.","$11,348,324",7.1,22 Dec 1995
Nixon (1995),Oliver Stone,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","$13,681,765",7.0,05 Jan 1996
Cutthroat Island (1995),Renny Harlin,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,"$10,017,322",5.7,22 Dec 1995
